0	1997.06	1997.07	1997.08	1997.09	1997.10	1997.11	1997.12	1998.01	1998.02	1998.03	1998.04	1998.05	1998.06	1998.07	1998.08	1998.09	1998.10	1998.11	1998.12	1999.01	1999.02	1999.03	1999.04	1999.05	1999.06	1999.07	1999.08	1999.09	1999.10	1999.11	1999.12	2000.01	2000.02	2000.03	2000.04	2000.05	2000.06	2000.07	2000.08	2000.09	2000.10	2000.11	2000.12	2001.01	2001.02	2001.03	2001.04	2001.05	2001.06	2001.07	2001.08	2001.09	2001.09	2001.10	2001.11	2001.12	2002.01	2002.02	2002.03	2002.04	2002.05	2002.06	2002.07	2002.08	2002.09	2002.10	2002.11	2002.12	2003.01	2003.02	2003.03	2003.04	2003.05	2003.06	2003.07	2003.08	2003.09	2003.10	2003.11	2003.12	2004.01	2004.02	2004.03	2004.04	2004.05	2004.06	2004.07	2004.08	2004.09	2004.10	2004.11	2004.12	2005.01	2005.02	2005.03	2005.04	2005.05	2005.06	2005.07	2005.08	2005.09	2005.10	2005.11	2005.12	2006.01	2006.02	2006.03	2006.04	2006.05	2006.06	2006.07	2006.08	2006.09
1	0.25	0.25	0.25	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	-0.25	-0.50	-0.50	-0.25	-0.50	0.00	-0.25	0.00	-0.25	0.00	0.00	0.25	0.00	0.25	0.00	0.25	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	-0.25	-0.25	0.00	0.00	-0.25	0.00	-0.25	-0.25	-0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	0.00	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2	0.25	0.25	0.25	0.00	0.00	0.25	0.00	0.00	-99	-99	-99	0.00	0.25	0.00	0.00	0.00	-0.25	-0.50	-0.50	-0.25	-0.50	0.00	-0.25	0.00	0.00	0.00	0.00	0.25	0.00	0.25	0.25	0.25	0.25	0.00	0.25	0.00	0.25	0.00	0.25	0.25	0.00	0.00	0.00	0.00	-0.25	0.00	-0.25	-0.25	0.00	0.00	0.00	0.00	-0.25	-0.25	-0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.25	0.25	0.25	0.25	0.25	0.00	0.25	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-99	-99	-99	-99	-99	-99	-99	-99
5	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.25	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.25	0.25	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	0.00	-0.25	-0.25	0.00	-0.25	-0.25	0.00	0.00	-0.25	0.00	-0.25	-0.25	-0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	-0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
7	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	-0.25	0.00	-0.25	-0.25	-0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	0.00	0.00	0.00	-0.25	0.00	0.00	-0.25	-0.25	-0.25	0.00	0.00	0.25	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00
8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.25	0.00	0.25	0.25	0.00	0.00	0.00	0.00	-0.25	0.00	-0.25	-0.25	0.00	0.00	-0.25	0.00	-0.25	-0.25	-0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	-0.25	-0.25	-0.25	0.00	0.00	-0.25	-0.25	-0.25	0.00	0.00	0.25	0.25	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	0.00	0.00	0.00	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-99	-99	-99	-99
9	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	0.00	-0.25	-0.25	0.00	0.00	-0.25	0.00	-0.50	-0.25	-0.50	-0.25	0.00	-0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
